Price,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG
Date,,,,,
1990-01-02,3.6458561420440674,3.6458561420440674,3.581213302646123,3.6199990062848895,5742400
1990-01-03,3.6393918991088867,3.665249035159394,3.619999047071006,3.6458561831215137,6478400
1990-01-04,3.568284273147583,3.626462821079337,3.5424271407334698,3.6199985379758086,6286400
1990-01-05,3.503641128540039,3.5747482363148366,3.503641128540039,3.5424268236899286,4283200
1990-01-08,3.568284273147583,3.5812128393546394,3.497177159008772,3.5036414421123006,2887200
1990-01-09,3.568284273147583,3.5876771224581674,3.5424271407334698,3.5618199900440546,5472000
1990-01-10,3.5876777172088623,3.5941420013840135,3.5424277279828047,3.5876777172088623,4456000
1990-01-11,3.6393918991088867,3.6587847511467673,3.594141911020499,3.6135347630583796,3821600
1990-01-12,3.5261905193328857,3.6107670447043385,3.493661086497711,3.591249385003234,6524800
1990-01-15,3.539201021194458,3.5587186738848686,3.500165715813637,3.5066716000437737,3548000
1990-01-16,3.584742546081543,3.584742546081543,3.506671928018061,3.506671928018061,5158400
1990-01-17,3.5652248859405518,3.6107660797390624,3.552213116283834,3.578236655597269,4715200
1990-01-18,3.6172711849212646,3.6302829517734994,3.5457064672339733,3.5457064672339733,4432800
1990-01-19,3.591248035430908,3.6432951084081675,3.591248035430908,3.6432951084081675,6000000
1990-01-22,3.5066702365875244,3.5977525803949923,3.4806467097853906,3.591246698694459,4911200
1990-01-23,3.4416120052337646,3.5392002473481434,3.422094356810889,3.526188481732893,6199200
1990-01-24,3.4481186866760254,3.4611304553049917,3.383059843531195,3.383059843531195,5979200
1990-01-25,3.2659528255462646,3.5196822283277474,3.2659528255462646,3.46763517134693,13050400
1990-01-26,3.2854714393615723,3.33751851166829,3.2529420191698737,3.2854714393615723,12151200
1990-01-29,3.259446620941162,3.3049877912936334,3.22691721354654,3.28547014685686,4562400
1990-01-30,3.2659528255462646,3.285470471914071,3.226917532810652,3.2789645897914688,5979200
1990-01-31,3.3310132026672363,3.3635426284745336,3.2789661213755608,3.298483776859939,6228000
1990-02-01,3.3635427951812744,3.376554566149094,3.3310133677617264,3.3440251387295454,5135200
1990-02-02,3.3895676136016846,3.4090852774036136,3.3375205101298735,3.3570381739318025,3768000
1990-02-05,3.415590286254883,3.422096172514416,3.3960726274762836,3.3960726274762836,3948000
1990-02-06,3.3895676136016846,3.41559116533759,3.370049949799755,3.4090852774036136,4194400
1990-02-07,3.4286015033721924,3.4546250441947515,3.3440249956988746,3.363542651315794,4373600
1990-02-08,3.4090821743011475,3.461129230397348,3.3830586462530468,3.4220939383251974,4962400
1990-02-09,3.4481186866760254,3.467636339619475,3.402577496474644,3.4351069180470595,4240000
1990-02-12,3.3895676136016846,3.454626492941448,3.3895676136016846,3.4481206050074715,2880800
1990-02-13,3.3895676136016846,3.41559116533759,3.376555837733732,3.396073501535661,4260000
1990-02-14,3.415590286254883,3.428602058773949,3.3960726274762836,3.3960726274762836,2314400
1990-02-15,3.467637300491333,3.480649072725822,3.4090843254361323,3.4090843254361323,2984800
1990-02-16,3.4806463718414307,3.500164015048018,3.454622847565981,3.4806463718414307,5103200
1990-02-20,3.396071672439575,3.42860109458938,3.3830599035796536,3.396071672439575,3996800
1990-02-21,3.3635427951812744,3.376554566149094,3.337519253245636,3.3440251387295454,4656000
1990-02-22,3.2854714393615723,3.376553815898329,3.2789655553232326,3.35053027974497,4048000
1990-02-23,3.2529404163360596,3.3049874629974365,3.213905131340027,3.265952178001404,4683200
1990-02-26,3.2854714393615723,3.291977323399912,3.2529420191698737,3.265953787246553,2842400
1990-02-27,3.2854714393615723,3.324506743591611,3.272459671284893,3.272459671284893,2995200
1990-02-28,3.3245062828063965,3.3505298153528265,3.285470983986752,3.285470983986752,3504000
1990-03-01,3.298482894897461,3.3375181954287916,3.2789652446317956,3.3180005451631263,3273600
1990-03-02,3.298482894897461,3.311494661741238,3.25944759436613,3.3049887783193492,4338400
1990-03-05,3.298482894897461,3.3049887783193492,3.2529417109442416,3.298482894897461,3295200
1990-03-06,3.298482894897461,3.3180005451631263,3.25944759436613,3.291977011475572,3928800
1990-03-07,3.298482894897461,3.3440240788506803,3.285471128053684,3.3049887783193492,5844000
1990-03-08,3.383061408996582,3.396073183646569,3.2984848737716677,3.304990761096661,4908000
1990-03-09,3.3765525817871094,3.3765525817871094,3.3245055285033005,3.3440231734847288,5536000
1990-03-12,3.3375163078308105,3.3895633457696928,3.3375163078308105,3.3570339470578916,3555200
1990-03-13,3.3375163078308105,3.370045706542612,3.3245045483460904,3.350528067315531,3976000
1990-03-14,3.3895676136016846,3.41559116533759,3.34402639806385,3.34402639806385,4073600
1990-03-15,3.3635427951812744,3.409083993568642,3.3635427951812744,3.389566337116913,3354400
