sno,Name,stock
1,Nvidia,NVDA
2,Apple,AAPL
3,Google,GOOGL
4,Microsoft,MSFT
5,Amazon,AMZN
6,Meta Platforms,META
7,Tesla,TSLA
8,Broadcom,AVGO
9,Walmart,WMT
10,JPMorgan Chase,JPM
11,Visa,V
12,Oracle,ORCL
13,Johnson & Johnson,JNJ
14,Mastercard,MA
15,Exxon Mobil,XOM
16,Netflix,NFLX
17,Procter & Gamble,PG
18,Cisco,CSCO
19,The Coca-Cola Company,KO
20,UnitedHealth Group,UNH
